commit_id,commit_date,commit_content,commit_author,commit_type
c24ddf969f9b4971e7d1e564066e6dd198f91327,Tue Jul 18 00:00:00 EDT 2017,[MNG-6255] Maven script cannot parse jvm.config with CRLF Both \r and \n should also be replaced with a space to deal with CRLF line endings properly ,Andrew Donald Kennedy,commit
78c3d183d7a489591193d39c5ac9340a4410ef8c,Sat Jul 15 00:00:00 EDT 2017,[MNG-6123] detect self references in POM and fail fast  o Added unit test and self referencing pom ,Karl Heinz Marbaise,commit
b1002575177abd1108fe50f457cceb9c7c3cf7d8,Wed Jul 12 00:00:00 EDT 2017,[MNG-5457] Show repository id when downloading or uploading from/to a remote repository ,Michael Osipov,commit
e520324c8d45e2465cf8aeafb4d57cef30250136,Wed Jul 12 00:00:00 EDT 2017,[MNG-6258] Upgrade to Maven Resolver 1.1.0 ,Michael Osipov,commit
a1fe42199565f76007a97f47cd4a848fd9b63482,Wed Jun 14 00:00:00 EDT 2017,[MNG-6240] Duplicate components in plugin extension realm when plugin depends on maven-aether-resolver Maven Core needs to export the maven-aether-provider artifact so that its components do not get added twice in plugin realm. This happens if the build uses an extension plugin depending on maven-aether-provider  before it was renamed to maven-resolver-provider ,Guillaume Bou�,commit
79862566f76e686ce77cc7a247aef096406c4ac0,Sun Jun 11 00:00:00 EDT 2017,[MNG-6174] Clean Up Maven Model ,Karl Heinz Marbaise,commit
12d6471337c7ad067b7762d44050a079829ea26c,Sun Jun 11 00:00:00 EDT 2017,[MNG-6207] Create WARNINGs in case of using system scope  o display deprecation build warning for dependencies with scope 'system' declaration  o Note about tests: existing 'systemPath' related tests are reused/expanded    (rationale: scope 'system' and 'systemPath' are mutually dependent) Signed-off-by: Karl Heinz Marbaise <khmarbaise@apache.org> ,dejan2609,commit
707cff6ffdecbfb0e0356c70e3a7b490535e7ce4,Sat Jun 10 00:00:00 EDT 2017,[MNG-6186] fixed path to jansi native libs in distribution,Herv� Boutemy,commit
0abc475f7d95c05f40ad35c73053060f0cdd7982,Wed Jun 07 00:00:00 EDT 2017,[MNG-6069] Migrate to non deprecated parts of Commons CLI ,Karl Heinz Marbaise,commit
eb6b212b567c287734a2dbbef3c113fe650f1def,Sun Jun 04 00:00:00 EDT 2017,[MNG-6206] display deprecation build warning in case when dependencies use metaversions (LATEST or RELEASE) Signed-off-by: Karl Heinz Marbaise <khmarbaise@apache.org> ,dejan2609,commit
82684bd49787a8345d35dbb900e60d603a359bcb,Thu May 25 00:00:00 EDT 2017,[MNG-6164] Collections inconsistently immutable Make non-empty collections returned immutable just like those returned by java.util.Collections. ,Christian Schulte,commit
a7dddcb87626fec256f1b8ccbe957f94cdf401e4,Thu May 25 00:00:00 EDT 2017,[MNG-6084] Support JSR 250 annotations ,Dan Tran,commit
66fc74d6296ea0a33f8a9712dc5ed5eb3affd529,Wed May 24 00:00:00 EDT 2017,MNG-6233 don't mix plexus and jsr330 annotations in aether-provider Signed-off-by: Igor Fedorenko <ifedorenko@apache.org> ,Igor Fedorenko,commit
104b50d4df73f7d2ee6ea163f28bedbab5a50172,Sun May 21 00:00:00 EDT 2017,[MNG-6196] removed remaining Monkey patching  not really necessary done after Emmanuel Bourg #118 PR idea,Herv� Boutemy,commit
1b3d7713e21b5dc66759590a28cd60990f54271d,Sun May 21 00:00:00 EDT 2017,[MNG-6196] updated slf4j to 1.7.25 [SLF4J-394] use new slf4j methods done for us [SLF4J-395] use slf4j-simple System.out cache,Herv� Boutemy,commit
