issue_id,issue_resolved_date,issue_resolution,issue_content,issue_priority,issue_assignee,issue_assignee_username,issue_created_date,issue_summary,issue_status,issue_type
MNG-1,Thu May 19 00:00:00 EDT 2005,Fixed,1. artifacts in mevenide to synchronize pom with ide we need to display artifacts if they are not already added to ide (and vice-versa). for that purpose we need to have a comparison mechanism. so a equals() method is needed  but also other utility methods like (non exhaustive) :  o myArtifact.conflicts(myOtherArtifact) and o myArtifact.relaxEquals(myOtherArtifact) f.i. conflicts would return true if same groupId and sameAritfactId but incompatible version  relaxEquals would return true if version is compatible  etc.. (just some quick thoughts) 2. directories  although not as needed as artifact comparison it would be util to have utility to compare a Resource with a given path that might be relative or to $ {basedir}  or absolute.,Minor,null,null,Tue Apr 13 00:00:00 EDT 2004,[MNG-1] directory and artifact comparison,Closed,improvement
MNG-1026,Fri Oct 07 00:00:00 EDT 2005,Fixed,The Maven mailing list archive links point to the apache mailing list archives which are nearly useless because you cannot search by keyword.  Please change the links to point to MARC: http://marc.theaimsgroup.com/?l=turbine-maven-user&amp;r=1&amp;w=2 http://marc.theaimsgroup.com/?l=turbine-maven-dev&amp;r=1&amp;w=2 The whole point of archives is to allow your users to search them to minimize duplicate questions.,Major,null,null,Tue Sep 27 00:00:00 EDT 2005,[MNG-1026] mailing list archive link,Closed,improvement
MNG-1083,Sun Dec 31 00:00:00 EST 2006,Fixed,Expose manipulation of the settings object in the embedder.,Major,null,null,Mon Oct 03 00:00:00 EDT 2005,[MNG-1083] Provide read/write methods for manipulating Maven settings,Closed,improvement
MNG-1090,Tue Oct 11 00:00:00 EDT 2005,Fixed,the plugin version manager should be searching the reactorProjects collection before it tries against the repository system  in order to pickup plugins that are going to be built in this maven execution. The only trick here is ensuring that the plugins actually are built ahead of their invocation...,Major,John Casey,jdcasey,Tue Oct 04 00:00:00 EDT 2005,[MNG-1090] search reactorProjects for plugin versions before going to the repository system,Closed,improvement
MNG-1098,Fri Oct 07 00:00:00 EDT 2005,Fixed,Actually we have it only on sucess,Minor,Brett Porter,brettporter,Wed Oct 05 00:00:00 EDT 2005,[MNG-1098] Add reactor summary when m2 fails,Closed,improvement
MNG-110,Wed Aug 03 00:00:00 EDT 2005,Fixed,Add eclipse.dependency property behavior to eclipse plugin as described in http://maven.apache.org/reference/plugins/eclipse/.,Major,null,null,Sun Jan 16 00:00:00 EST 2005,[MNG-110] Add eclipse.dependency property to eclipse plugin,Closed,improvement
MNG-1117,Wed Feb 28 00:00:00 EST 2007,Fixed,Currently MavenEmbedder.writeModel( w  model) method does not take into account formatting of the existing pom.xml. This is critical limitation from an end-user prospective.,Critical,Jason van Zyl,jvanzyl,Thu Oct 06 00:00:00 EDT 2005,[MNG-1117] MavenEmbedder.writeModel( w  model) should allow to preserve xml formatting,Closed,improvement
MNG-1119,Sun Dec 27 00:00:00 EST 2009,Fixed,Currently all dependencies come from MavenEmbedder.readProjectWithDependencies() method that is using passed pom.xml to resolve dependencies from m2 repositories. It is possible that some of the dependencies could exist as other Eclipse projects in the same workspace. It would be interesting to hook up Eclipse-specific pom resolver  so it would implement IDE-specific logic to check if there are poms avaialble and if nothing is there use default resolution strategy.,Major,null,null,Thu Oct 06 00:00:00 EDT 2005,[MNG-1119] Allow to use custom pom resolution strategy,Closed,improvement
MNG-1124,Fri Oct 07 00:00:00 EDT 2005,Fixed,Multiproject and project.properties info as per thread "&#91;m2&#93; m1 pom conversion".,Minor,null,null,Fri Oct 07 00:00:00 EDT 2005,[MNG-1124] guide-m1-m2 patch,Closed,improvement
MNG-1150,Thu Oct 13 00:00:00 EDT 2005,Fixed,It should be allowed to configure the custom settings of each wagon provider. This would give lot of flexiblity to the user to adapt the wagon provider to his environment.  For example  in wagon-ssh i would like to configure WAGONSSH-12 settings or in a https wagon i would things related with CA keys and trust. ,Major,John Casey,jdcasey,Sun Oct 09 00:00:00 EDT 2005,[MNG-1150] be able to configure custom wagon's properties,Closed,improvement
MNG-1182,Wed Dec 07 00:00:00 EST 2005,Fixed,we are still using plexus-utils with old versions of FileUtils that don't properly close files on exception - this could be an issue when we get to embedding.,Major,John Casey,jdcasey,Wed Oct 12 00:00:00 EDT 2005,[MNG-1182] update plexus-utils code for stream handling,Closed,improvement
MNG-1183,Sat Oct 15 00:00:00 EDT 2005,Fixed,If one uses -s mysettings.xml file as allowed by MNG-1179  the m2-bootstrapper build will not propagate that information to the IT Verifier. Then a different repository will be used. Patch attached.,Minor,Brett Porter,brettporter,Wed Oct 12 00:00:00 EDT 2005,[MNG-1183] Make core integration tests aware of user local directory thanks to settings file,Closed,improvement
MNG-1198,Wed Oct 26 00:00:00 EDT 2005,Fixed,the artifact resolver should continue with the next artifact in the resolution group even after it could not find one  and throw an exception at the end that lists all the artifacts that could not be found.,Major,Jason van Zyl,jvanzyl,Thu Oct 13 00:00:00 EDT 2005,[MNG-1198] group artifact not found exceptions,Closed,improvement
MNG-1217,Wed Nov 02 00:00:00 EST 2005,Fixed,The message you get everytime is &#91;WARNING&#93;   This artifact has been relocated to javax.sql:jdbc-stdext:2.0. now print something useful instead of "This"  and better if there's a way to know where it comes from,Major,Edwin Punzalan,elpunzalan,Sat Oct 15 00:00:00 EDT 2005,[MNG-1217] Relocation messages don't mention the artifact that was relocated,Closed,improvement
MNG-122,Thu Oct 13 00:00:00 EDT 2005,Fixed,we need to get rid of the traces for non-fatal errors  and give something user friendly. The traces for fatal errors need to be more descriptive.,Minor,Brett Porter,brettporter,Sun Feb 06 00:00:00 EST 2005,[MNG-122] clean up of exception handling  error reporting and logging,Closed,improvement
MNG-123,Sun Nov 20 00:00:00 EST 2005,Fixed,currently  the bootstrap builds with mboot  but never rebuilds m2 with itself. It would be good to be able to build m2 with itself and include that step in the bootstrap. This would also make development quicker as you could build a single component and install it into your installation rather than having to re-bootstrap on changes.,Trivial,Brett Porter,brettporter,Sun Feb 06 00:00:00 EST 2005,[MNG-123] bootstrap should build with itself,Closed,improvement
MNG-1265,Tue Dec 06 00:00:00 EST 2005,Fixed,We should add information such as "Built on &lt;date + time&gt;" instead of just the version. For example  imagine I have version 2.0.1-SNAPSHOT I have built 2 days ago. I'm building it again from sources.Some problems happen during the build. I want to see if the new version corresponds to what I have just built. If it just says 2.0.1-SNAPSHOT  I won't know. Displaying:  2.0.1-SNAPSHOT build on 2005-10-20 at 14:29 GMT+1 would be much better. ,Major,John Casey,jdcasey,Fri Oct 21 00:00:00 EDT 2005,[MNG-1265] Improve information displayed by "mvn --version",Closed,improvement
MNG-1271,Tue Nov 01 00:00:00 EST 2005,Fixed,I was installing Maven 2 per the Installation Instructions and after running mvn --version and seeing 2.0 I decided to "try it out" - now realize I am a build/release guy  not a java coder so I'm coming from this as a complete newbie. So  happy that Maven 2 was installed I went over to the working directory for our Maven 1 project and typed "mvn compile" and after a couple minutes of some downloading I get the following: &#91;ERROR&#93; BUILD ERROR ... &#91;INFO&#93; Cannot execute mojo: resources. It requires a project  but the build is not using one. ... &#91;INFO&#93; For more information  run Maven with the -e switch ok  hmm  I'm thinking "well  I see project.xml - what the heck does it want" but I run mvn -e compile to be safe.  That spews a nice stack trace (and if I was a java guy it would probably make sense) but still nothing says "hey fool - this is Maven 2 - you need a pom.xml file not that so-last-decade project.xml file!" anywho - sorry for the long winded report - can you change the INFO message to mention pom.xml? ,Major,Edwin Punzalan,elpunzalan,Fri Oct 21 00:00:00 EDT 2005,[MNG-1271] Maven 2 needs to give a warning when it is being run in a Maven 1 project and there isn't a pom.xml file,Closed,improvement
MNG-1276,Wed Nov 16 00:00:00 EST 2005,Fixed,Basically   per module we get about 10-15 of these flying by : &#91;WARNING&#93; POM for: 'avalon-logkit:avalon-logkit:pom:2.1' does not appear to be valid. Its will be ignored for artifact resolution. Reason: Invalid POM (not v4.0.0 modelVersion) We have 65 modules  i'm sure you get the picture  see also http://article.gmane.org/gmane.comp.jakarta.turbine.maven.user/28826,Major,Edwin Punzalan,elpunzalan,Fri Oct 21 00:00:00 EDT 2005,[MNG-1276] warning too verbose for invalid poms,Closed,improvement
MNG-128,Sun Mar 06 00:00:00 EST 2005,Fixed,need to have a method for logging from m2 and mojos. Base it on an event structure so that it can be embedded easily and provide feedback.,Major,John Casey,jdcasey,Mon Feb 07 00:00:00 EST 2005,[MNG-128] logging and events,Closed,improvement
MNG-1286,Wed Nov 02 00:00:00 EST 2005,Fixed,When using an artifact that was relocated you need to exclude the one used directly  it doesn't work if you use the final relocated artifact. This is confusing when you get an artifact in your war but you need to exclude other. eg. if you don't use exclusions you get jdbc-stdext in the war. Using option b doesn't work  currently you need to use option a.        &lt;dependency&gt;            &lt;artifactId&gt;commons-dbcp&lt;/artifactId&gt;            &lt;groupId&gt;commons-dbcp&lt;/groupId&gt;            &lt;version&gt;1.2&lt;/version&gt;            &lt;exclusions&gt; &lt;!-- option a --&gt;                &lt;exclusion&gt;                    &lt;artifactId&gt;jdbc&lt;/artifactId&gt;                    &lt;groupId&gt;jdbc&lt;/groupId&gt;                &lt;/exclusion&gt; &lt;!-- option b --&gt;                &lt;exclusion&gt;                    &lt;artifactId&gt;jdbc-stdext&lt;/artifactId&gt;                    &lt;groupId&gt;javax.sql&lt;/groupId&gt;                &lt;/exclusion&gt;            &lt;/exclusions&gt;        &lt;/dependency&gt;,Major,Lester T. Ecarma,lecarma,Sat Oct 22 00:00:00 EDT 2005,[MNG-1286] Check exclusions against relocated artifacts,Closed,improvement
MNG-1287,Tue Nov 01 00:00:00 EST 2005,Fixed,When getting a "Failed to resolve artifact." error in previous betas maven showed the path to that dependency  in the 2.0 final is missing. &#91;INFO&#93; Failed to resolve artifact. GroupId: logkit ArtifactId: logkit Version: 1.0.6 Reason: Unable to download the artifact from any repository   logkit:logkit:1.0.6:jar,Major,Edwin Punzalan,elpunzalan,Sat Oct 22 00:00:00 EDT 2005,[MNG-1287] Bring back dependency path tree in "Failed to resolve artifact." error,Closed,improvement
MNG-129,Sat Mar 12 00:00:00 EST 2005,Fixed,m2 -r jar:install in plexus  for example  doesn't work because of the lack of poms in the local repository. m2 -r install should be finished after the lifecycle stuff to ensure this works. The unified source directory will also help here.,Major,null,null,Mon Feb 07 00:00:00 EST 2005,[MNG-129] generic install technique,Closed,improvement
MNG-1299,Thu Jan 11 00:00:00 EST 2007,Fixed,The m2 site plugin now supports the $ {basedir} /xdocs directory.,Major,null,null,Mon Oct 24 00:00:00 EDT 2005,[MNG-1299] Document m1 xdocs compatibility with the m2 site plug-in,Closed,improvement
MNG-1300,Sat Jan 21 00:00:00 EST 2006,Fixed,Give people examples of how the optional and exclusions elements and explain in detail how they work.,Major,John Casey,jdcasey,Mon Oct 24 00:00:00 EDT 2005,[MNG-1300] Document optional and exclusions element for dependencies,Closed,improvement
MNG-1301,Wed Jan 25 00:00:00 EST 2006,Fixed,empty,Major,Allan Ramirez,aramirez,Mon Oct 24 00:00:00 EDT 2005,[MNG-1301] Document test inclusions and exclusions using the surefire plugin,Closed,improvement
MNG-1352,Tue Dec 06 00:00:00 EST 2005,Fixed,As you can see below the message has an "OR" but the 2 alternatives are the same: C:\dev\cargo\trunk\samples\extensions\maven2&gt;mvn clean org.codehaus.cargo.maven2:cargo-maven2-plugin:start &#91;INFO&#93; Scanning for projects... &#91;INFO&#93; ---------------------------------------------------------------------------- &#91;INFO&#93; Building Cargo Sample for the Maven2 plugin &#91;INFO&#93;    task-segment: &#91;clean  org.codehaus.cargo.maven2:cargo-maven2-plugin:start&#93; &#91;INFO&#93; ---------------------------------------------------------------------------- &#91;INFO&#93; &#91;clean:clean&#93; &#91;INFO&#93; ---------------------------------------------------------------------------- &#91;ERROR&#93; BUILD ERROR &#91;INFO&#93; ---------------------------------------------------------------------------- &#91;INFO&#93; One or more required plugin parameters are invalid/missing for 'cargo2:start' &#91;0&#93; inside the definition for plugin: 'cargo-maven2-plugin'specify the following: &lt;configuration&gt;   ...   &lt;container&gt;VALUE&lt;/container&gt; &lt;/configuration&gt; OR &lt;configuration&gt;   ...   &lt;container&gt;VALUE&lt;/container&gt; &lt;/configuration&gt; . &#91;INFO&#93; ---------------------------------------------------------------------------- &#91;INFO&#93; For more information  run Maven with the -e switch &#91;INFO&#93; ---------------------------------------------------------------------------- &#91;INFO&#93; Total time: 1 second &#91;INFO&#93; Finished at: Fri Oct 28 11:38:41 CEST 2005 &#91;INFO&#93; Final Memory: 2M/5M &#91;INFO&#93; ---------------------------------------------------------------------------- C:\dev\cargo\trunk\samples\extensions\maven2&gt;,Major,John Casey,jdcasey,Fri Oct 28 00:00:00 EDT 2005,[MNG-1352] Improve message when a required config is not present in pom.xml,Closed,improvement
MNG-1361,Sat Oct 29 00:00:00 EDT 2005,Fixed,When using a dependencyManagement element it's not easy to tell which dependency element in the current POM actually has the problem because we get a message like the following: &#8212; Project ID: org.apache.geronimo.specs:j2ee POM Location: /home/jvanzyl/js/org/apache/geronimo/specs/trunk/j2ee/pom.xml Validation Messages:     &#91;0&#93;  'dependencies.dependency.version' is missing.     &#91;1&#93;  'dependencies.dependency.version' is missing.     &#91;2&#93;  'dependencies.dependency.version' is missing.     &#91;3&#93;  'dependencies.dependency.version' is missing.     &#91;4&#93;  'dependencies.dependency.version' is missing. &#8212; Would be nice if it also displayed the standard g:a so you can tell what it's referring to.,Major,Jason van Zyl,jvanzyl,Sat Oct 29 00:00:00 EDT 2005,[MNG-1361] Improve the message when the version is missing from a dependency,Closed,improvement
MNG-1369,Fri Nov 18 00:00:00 EST 2005,Fixed,Talk about the replacement of the arbitrary chaining of goals with the standard lifecycle.,Major,Jason van Zyl,jvanzyl,Sun Oct 30 00:00:00 EDT 2005,[MNG-1369] Why are there no pre/post goals in Maven 2.x,Closed,improvement
