id,resolved_date,resolution,content,priority,assignee,assignee_username,created_date,summary,status,type
MNG-1,Thu May 19 00:00:00 EDT 2005,Fixed,1. artifacts in mevenide to synchronize pom with ide we need to display artifacts if they are not already added to ide (and vice-versa). for that purpose we need to have a comparison mechanism. so a equals() method is needed  but also other utility methods like (non exhaustive) :  o myArtifact.conflicts(myOtherArtifact) and o myArtifact.relaxEquals(myOtherArtifact) f.i. conflicts would return true if same groupId and sameAritfactId but incompatible version  relaxEquals would return true if version is compatible  etc.. (just some quick thoughts) 2. directories  although not as needed as artifact comparison it would be util to have utility to compare a Resource with a given path that might be relative or to $ {basedir}  or absolute.,Minor,null,null,Tue Apr 13 00:00:00 EDT 2004,[MNG-1] directory and artifact comparison,Closed,improvement
MNG-1026,Fri Oct 07 00:00:00 EDT 2005,Fixed,The Maven mailing list archive links point to the apache mailing list archives which are nearly useless because you cannot search by keyword.  Please change the links to point to MARC: http://marc.theaimsgroup.com/?l=turbine-maven-user&amp;r=1&amp;w=2 http://marc.theaimsgroup.com/?l=turbine-maven-dev&amp;r=1&amp;w=2 The whole point of archives is to allow your users to search them to minimize duplicate questions.,Major,null,null,Tue Sep 27 00:00:00 EDT 2005,[MNG-1026] mailing list archive link,Closed,improvement
MNG-1083,Sun Dec 31 00:00:00 EST 2006,Fixed,Expose manipulation of the settings object in the embedder.,Major,null,null,Mon Oct 03 00:00:00 EDT 2005,[MNG-1083] Provide read/write methods for manipulating Maven settings,Closed,improvement
MNG-1090,Tue Oct 11 00:00:00 EDT 2005,Fixed,the plugin version manager should be searching the reactorProjects collection before it tries against the repository system  in order to pickup plugins that are going to be built in this maven execution. The only trick here is ensuring that the plugins actually are built ahead of their invocation...,Major,John Casey,jdcasey,Tue Oct 04 00:00:00 EDT 2005,[MNG-1090] search reactorProjects for plugin versions before going to the repository system,Closed,improvement
MNG-1098,Fri Oct 07 00:00:00 EDT 2005,Fixed,Actually we have it only on sucess,Minor,Brett Porter,brettporter,Wed Oct 05 00:00:00 EDT 2005,[MNG-1098] Add reactor summary when m2 fails,Closed,improvement
MNG-110,Wed Aug 03 00:00:00 EDT 2005,Fixed,Add eclipse.dependency property behavior to eclipse plugin as described in http://maven.apache.org/reference/plugins/eclipse/.,Major,null,null,Sun Jan 16 00:00:00 EST 2005,[MNG-110] Add eclipse.dependency property to eclipse plugin,Closed,improvement
MNG-1117,Wed Feb 28 00:00:00 EST 2007,Fixed,Currently MavenEmbedder.writeModel( w  model) method does not take into account formatting of the existing pom.xml. This is critical limitation from an end-user prospective.,Critical,Jason van Zyl,jvanzyl,Thu Oct 06 00:00:00 EDT 2005,[MNG-1117] MavenEmbedder.writeModel( w  model) should allow to preserve xml formatting,Closed,improvement
MNG-1119,Sun Dec 27 00:00:00 EST 2009,Fixed,Currently all dependencies come from MavenEmbedder.readProjectWithDependencies() method that is using passed pom.xml to resolve dependencies from m2 repositories. It is possible that some of the dependencies could exist as other Eclipse projects in the same workspace. It would be interesting to hook up Eclipse-specific pom resolver  so it would implement IDE-specific logic to check if there are poms avaialble and if nothing is there use default resolution strategy.,Major,null,null,Thu Oct 06 00:00:00 EDT 2005,[MNG-1119] Allow to use custom pom resolution strategy,Closed,improvement
MNG-1124,Fri Oct 07 00:00:00 EDT 2005,Fixed,Multiproject and project.properties info as per thread "&#91;m2&#93; m1 pom conversion".,Minor,null,null,Fri Oct 07 00:00:00 EDT 2005,[MNG-1124] guide-m1-m2 patch,Closed,improvement
MNG-1150,Thu Oct 13 00:00:00 EDT 2005,Fixed,It should be allowed to configure the custom settings of each wagon provider. This would give lot of flexiblity to the user to adapt the wagon provider to his environment.  For example  in wagon-ssh i would like to configure WAGONSSH-12 settings or in a https wagon i would things related with CA keys and trust. ,Major,John Casey,jdcasey,Sun Oct 09 00:00:00 EDT 2005,[MNG-1150] be able to configure custom wagon's properties,Closed,improvement
MNG-122,Thu Oct 13 00:00:00 EDT 2005,Fixed,we need to get rid of the traces for non-fatal errors  and give something user friendly. The traces for fatal errors need to be more descriptive.,Minor,Brett Porter,brettporter,Sun Feb 06 00:00:00 EST 2005,[MNG-122] clean up of exception handling  error reporting and logging,Closed,improvement
MNG-1217,Wed Nov 02 00:00:00 EST 2005,Fixed,The message you get everytime is &#91;WARNING&#93;   This artifact has been relocated to javax.sql:jdbc-stdext:2.0. now print something useful instead of "This"  and better if there's a way to know where it comes from,Major,Edwin Punzalan,elpunzalan,Sat Oct 15 00:00:00 EDT 2005,[MNG-1217] Relocation messages don't mention the artifact that was relocated,Closed,improvement
